r,g,b,digit,VAE log-likelihood,WWDC* conditional log-likelihood,WWDC* unconditional log-likelihood,image,projection_x,projection_y
0.15857571,0.70158327,0.8607022,7,-7.228950500488281,-72.54729461669922,-75.35161590576172,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_0.png"" alt=""drawing"" style=""width:56px;""/>",-2.5793092,-7.758508
0.0747024,0.8034393,0.11809227,2,21.907699584960938,-74.29872131347656,-81.03245544433594,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_1.png"" alt=""drawing"" style=""width:56px;""/>",-6.5242796,4.0384793
0.66295576,0.13215284,0.72069305,1,50.98439025878906,-69.48042297363281,-67.82897186279297,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_2.png"" alt=""drawing"" style=""width:56px;""/>",-5.6725106,3.1025424
0.5692049,0.51554316,0.5687114,0,3.7497482299804688,-69.11915588378906,-67.85452270507812,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_3.png"" alt=""drawing"" style=""width:56px;""/>",-3.3259294,1.1167783
0.45510578,0.085863605,0.90056735,4,31.273544311523438,-71.80873107910156,-71.54740905761719,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_4.png"" alt=""drawing"" style=""width:56px;""/>",4.9455996,-1.5779208
0.90249336,0.3069657,0.51211005,1,48.89710235595703,-70.93772888183594,-69.07294464111328,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_5.png"" alt=""drawing"" style=""width:56px;""/>",-1.8334332,2.6382859
0.538254,0.39218497,0.80347586,4,-5.760383605957031,-79.62065124511719,-81.4269027709961,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_6.png"" alt=""drawing"" style=""width:56px;""/>",0.3712306,0.17308329
0.52816755,0.82083577,0.8810092,9,-4.5175018310546875,-85.24778747558594,-87.70596313476562,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_7.png"" alt=""drawing"" style=""width:56px;""/>",-7.9024057,7.858376
0.6221953,0.23489812,0.7604578,5,9.750213623046875,-83.61902618408203,-78.93803405761719,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_8.png"" alt=""drawing"" style=""width:56px;""/>",-8.017356,-6.529824
0.7901744,0.5230108,0.21681854,9,10.012252807617188,-74.04270935058594,-76.02838897705078,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_9.png"" alt=""drawing"" style=""width:56px;""/>",-2.5563328,-1.7169383
0.67344433,0.90478265,0.8767885,0,22.92962646484375,-72.23760986328125,-75.08738708496094,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_10.png"" alt=""drawing"" style=""width:56px;""/>",6.5453906,-4.5575323
0.40333003,0.18752699,0.5516273,6,18.474288940429688,-67.17938995361328,-68.84514617919922,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_11.png"" alt=""drawing"" style=""width:56px;""/>",3.983502,-2.289286
0.5361482,0.86068654,0.5822559,9,24.33025360107422,-71.1241455078125,-73.20011901855469,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_12.png"" alt=""drawing"" style=""width:56px;""/>",-0.36910963,-2.9993281
0.767315,0.56925684,0.6643349,0,16.43621063232422,-68.71358489990234,-68.9791259765625,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_13.png"" alt=""drawing"" style=""width:56px;""/>",4.031972,0.65144885
0.835949,0.5275118,0.6233102,1,23.29821014404297,-72.8709945678711,-70.97926330566406,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_14.png"" alt=""drawing"" style=""width:56px;""/>",-2.8765457,4.54566
0.19318077,0.55821854,0.90117276,5,-3.5697402954101562,-78.0930404663086,-81.80239868164062,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_15.png"" alt=""drawing"" style=""width:56px;""/>",-6.020138,0.85234195
0.104708,0.89527625,0.6868017,9,29.29986572265625,-72.47791290283203,-79.68612670898438,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_16.png"" alt=""drawing"" style=""width:56px;""/>",6.737806,-3.3840735
0.078464404,0.1071892,0.8008038,7,9.133941650390625,-72.00807189941406,-76.93269348144531,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_17.png"" alt=""drawing"" style=""width:56px;""/>",-2.349027,-7.7586203
0.41301557,0.10102801,0.42713794,3,19.781356811523438,-71.1480484008789,-66.9176254272461,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_18.png"" alt=""drawing"" style=""width:56px;""/>",1.8707652,5.2681613
0.48608196,0.05940082,0.14559822,4,21.87305450439453,-65.99327087402344,-66.10884094238281,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_19.png"" alt=""drawing"" style=""width:56px;""/>",-1.043105,0.011262251
0.719136,0.7667686,0.88430554,9,31.033523559570312,-76.70713806152344,-75.39918518066406,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_20.png"" alt=""drawing"" style=""width:56px;""/>",-8.218767,6.7394214
0.4448664,0.8002308,0.7931132,6,13.525428771972656,-76.79408264160156,-78.74291229248047,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_21.png"" alt=""drawing"" style=""width:56px;""/>",0.8965712,0.25754577
0.3522803,0.21099128,0.48008534,6,32.76106262207031,-69.1005859375,-67.43637084960938,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_22.png"" alt=""drawing"" style=""width:56px;""/>",3.7435756,0.09950672
0.07554026,0.9187612,0.36717075,5,15.549713134765625,-69.40801239013672,-74.6178970336914,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_23.png"" alt=""drawing"" style=""width:56px;""/>",-4.9196987,-0.18770278
0.17211534,0.9136412,0.40601712,4,1.0491180419921875,-77.41192626953125,-76.1857681274414,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_24.png"" alt=""drawing"" style=""width:56px;""/>",-3.061212,8.352426
0.6012399,0.865595,0.06969959,0,11.039718627929688,-79.58013916015625,-81.15768432617188,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_25.png"" alt=""drawing"" style=""width:56px;""/>",4.64174,-9.716653
0.8925665,0.46771467,0.1977632,7,39.432472229003906,-68.53008270263672,-71.62407684326172,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_26.png"" alt=""drawing"" style=""width:56px;""/>",3.3641539,2.6061494
0.75428045,0.7555235,0.13977562,4,-4.787109375,-70.2303695678711,-74.18102264404297,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_27.png"" alt=""drawing"" style=""width:56px;""/>",7.017979,3.3712907
0.4486268,0.17969972,0.61776096,0,24.62139129638672,-73.30591583251953,-69.9031753540039,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_28.png"" alt=""drawing"" style=""width:56px;""/>",-1.8014065,-8.238009
0.5704782,0.6344323,0.41580606,1,21.827438354492188,-76.48465728759766,-69.48246765136719,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_29.png"" alt=""drawing"" style=""width:56px;""/>",-4.007453,3.5726905
0.7877047,0.28251308,0.27250302,3,19.76264190673828,-69.60256958007812,-71.32757568359375,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_30.png"" alt=""drawing"" style=""width:56px;""/>",-4.1720405,-0.35031065
0.61395377,0.77937865,0.32288483,1,29.518760681152344,-72.43282318115234,-71.75067138671875,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_31.png"" alt=""drawing"" style=""width:56px;""/>",-1.0655551,5.3121877
0.26463562,0.22729164,0.9019418,3,-11.586845397949219,-75.75031280517578,-78.08822631835938,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_32.png"" alt=""drawing"" style=""width:56px;""/>",3.3592997,-1.153015
0.81933546,0.31136465,0.1165168,4,6.554573059082031,-79.29131317138672,-76.67713165283203,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_33.png"" alt=""drawing"" style=""width:56px;""/>",10.127579,-3.7385645
0.8244214,0.25419176,0.78138083,7,15.596115112304688,-74.33859252929688,-75.74641418457031,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_34.png"" alt=""drawing"" style=""width:56px;""/>",-4.197325,-7.3864226
0.36305553,0.68611354,0.2243035,2,15.884696960449219,-69.19462585449219,-72.77543640136719,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_35.png"" alt=""drawing"" style=""width:56px;""/>",4.4840736,-3.1885252
0.12978911,0.33413076,0.4145408,7,5.7818603515625,-74.8985366821289,-71.51546478271484,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_36.png"" alt=""drawing"" style=""width:56px;""/>",8.669847,-5.3218145
0.8122204,0.4992715,0.8873304,1,2.5955429077148438,-80.31539916992188,-78.60671997070312,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_37.png"" alt=""drawing"" style=""width:56px;""/>",-4.1211963,5.4346695
0.37539375,0.64236784,0.8809978,2,23.302345275878906,-76.97554016113281,-82.99549865722656,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_38.png"" alt=""drawing"" style=""width:56px;""/>",-6.312876,-1.7905953
0.42707777,0.9294639,0.8473398,1,64.18418884277344,-70.60128784179688,-71.91527557373047,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_39.png"" alt=""drawing"" style=""width:56px;""/>",-7.0297475,-1.6425229
0.20263061,0.67949605,0.6953482,1,37.76641845703125,-73.0341567993164,-71.9314956665039,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_40.png"" alt=""drawing"" style=""width:56px;""/>",-4.974013,0.5206702
0.51701164,0.46664003,0.37316927,7,29.12999725341797,-74.97969818115234,-70.0151596069336,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_41.png"" alt=""drawing"" style=""width:56px;""/>",2.3901012,8.838163
0.8426835,0.34734252,0.432649,4,41.221458435058594,-71.18535614013672,-72.1589126586914,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_42.png"" alt=""drawing"" style=""width:56px;""/>",0.779527,-5.186324
0.8799539,0.6257154,0.12329307,2,14.9500732421875,-83.84898376464844,-88.78465270996094,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_43.png"" alt=""drawing"" style=""width:56px;""/>",-7.5887074,-0.033345375
0.14328659,0.91228145,0.2745759,3,36.41157531738281,-72.88665771484375,-76.04237365722656,"<img src=""https://rgbmnist.s3.eu-north-1.amazonaws.com/images/img_44.png"" alt=""drawing"" style=""width:56px;""/>",-2.3701222,0.2905443
